CASE index=35 candidate_id=d4e7c0c0c500cbd962cba7fc0dafa772645d921480a8c1cae7df67dde1419fb1
source=ama_bench repository=ama:crafter task_id=9 split=test events=550
====================================================================================================
t0000:action | CALL environment_action/: Do
t0014:action | CALL environment_action/: Move South
t0014:observation | OBS : You see: ⏎ - grass 1 step to your west ⏎ - cow 6 steps to your north-west ⏎ - tree 6 steps to your north-east ⏎ - water 1 step to your south ⏎ - sand 1 step to your east ⏎ ⏎ You face water at your front.
t0015:action | CALL environment_action/: Move East
t0015:observation | OBS : You see: ⏎ - grass 1 step to your west ⏎ - water 1 step to your south ⏎ - sand 2 steps to your north-east ⏎ - tree 5 steps to your north-east ⏎ ⏎ You face water at your front.
t0016:action | CALL environment_action/: Do
t0016:observation | OBS : You see: ⏎ - grass 1 step to your west ⏎ - water 1 step to your south ⏎ - sand 2 steps to your north-east ⏎ - tree 5 steps to your north-east ⏎ ⏎ You face water at your front.
t0017:action | CALL environment_action/: Move North
t0017:observation | OBS : You see: ⏎ - grass 1 step to your west ⏎ - water 2 steps to your south ⏎ - sand 1 step to your south ⏎ - tree 4 steps to your north-east ⏎ ⏎ You face grass at your front.
t0018:action | CALL environment_action/: Move North
t0018:observation | OBS : You see: ⏎ - grass 1 step to your west ⏎ - water 2 steps to your east ⏎ - sand 2 steps to your south ⏎ - tree 3 steps to your north-east ⏎ ⏎ You face grass at your front.
t0019:action | CALL environment_action/: Move North
t0019:observation | OBS : You see: ⏎ - grass 1 step to your west ⏎ - sand 3 steps to your south ⏎ - water 3 steps to your south-east ⏎ - tree 2 steps to your east ⏎ ⏎ You face grass at your front.
t0020:action | CALL environment_action/: Move East
t0020:observation | OBS : You see: ⏎ - grass 1 step to your west ⏎ - sand 2 steps to your south ⏎ - water 2 steps to your south-east ⏎ - tree 1 step to your east ⏎ ⏎ You face tree at your front.
t0021:action | CALL environment_action/: Do
t0021:observation | OBS : You see: ⏎ - grass 1 step to your west ⏎ - sand 2 steps to your south ⏎ - water 2 steps to your south-east ⏎ ⏎ You face grass at your front.
t0022:action | CALL environment_action/: Make Wood Pickaxe
t0022:observation | OBS : You see: ⏎ - grass 1 step to your west ⏎ - sand 2 steps to your south ⏎ - water 2 steps to your south-east ⏎ ⏎ You face grass at your front.
t0023:action | CALL environment_action/: Place Table
t0023:observation | OBS : You see: ⏎ - grass 1 step to your west ⏎ - sand 2 steps to your south ⏎ - water 2 steps to your south-east ⏎ - table 1 step to your east ⏎ ⏎ You face table at your front.
t0024:action | CALL environment_action/: Make Wood Pickaxe
t0024:observation | OBS : You see: ⏎ - grass 1 step to your west ⏎ - sand 2 steps to your south ⏎ - water 2 steps to your south-east ⏎ - table 1 step to your east ⏎ ⏎ You face table at your front.
t0025:action | CALL environment_action/: Move South
t0025:observation | OBS : You see: ⏎ - grass 1 step to your west ⏎ - water 1 step to your east ⏎ - sand 1 step to your south ⏎ - table 2 steps to your north-east ⏎ ⏎ You face sand at your front.
t0026:action | CALL environment_action/: Move South
t0026:observation | OBS : You see: ⏎ - grass 1 step to your west ⏎ - water 1 step to your south ⏎ - sand 2 steps to your south-west ⏎ - table 3 steps to your north-east ⏎ ⏎ You face water at your front.
t0027:action | CALL environment_action/: Move South
t0027:observation | OBS : You see: ⏎ - grass 1 step to your west ⏎ - water 1 step to your south ⏎ - sand 2 steps to your south-west ⏎ - table 3 steps to your north-east ⏎ ⏎ You face water at your front.
t0028:action | CALL environment_action/: Move North
t0028:observation | OBS : You see: ⏎ - grass 1 step to your west ⏎ - water 1 step to your east ⏎ - sand 1 step to your south ⏎ - table 2 steps to your north-east ⏎ ⏎ You face grass at your front.
t0029:action | CALL environment_action/: Move North
t0029:observation | OBS : You see: ⏎ - grass 1 step to your west ⏎ - sand 2 steps to your south ⏎ - water 2 steps to your south-east ⏎ - table 1 step to your east ⏎ ⏎ You face grass at your front.
t0030:action | CALL environment_action/: Move East
t0030:observation | OBS : You see: ⏎ - grass 1 step to your west ⏎ - sand 2 steps to your south ⏎ - water 2 steps to your south-east ⏎ - table 1 step to your east ⏎ ⏎ You face table at your front.
t0031:action | CALL environment_action/: Make Wood Sword
t0031:observation | OBS : You see: ⏎ - grass 1 step to your west ⏎ - sand 2 steps to your south ⏎ - water 2 steps to your south-east ⏎ - table 1 step to your east ⏎ ⏎ You face table at your front.
t0032:action | CALL environment_action/: Move West
t0032:observation | OBS : You see: ⏎ - grass 1 step to your west ⏎ - sand 3 steps to your south ⏎ - water 3 steps to your south-east ⏎ - table 2 steps to your east ⏎ ⏎ You face grass at your front.
t0033:action | CALL environment_action/: Move North
t0033:observation | OBS : You see: ⏎ - grass 1 step to your west ⏎ - sand 3 steps to your east ⏎ - table 3 steps to your south-east ⏎ - water 4 steps to your south-east ⏎ ⏎ You face grass at your front.
t0034:action | CALL environment_action/: Move East
t0034:observation | OBS : You see: ⏎ - grass 1 step to your west ⏎ - sand 2 steps to your east ⏎ - table 2 steps to your south-east ⏎ - water 3 steps to your south-east ⏎ ⏎ You face grass at your front.
t0035:action | CALL environment_action/: Move East
t0035:observation | OBS : You see: ⏎ - grass 1 step to your west ⏎ - sand 1 step to your east ⏎ - table 1 step to your south ⏎ - water 2 steps to your south ⏎ ⏎ You face sand at your front.
t0036:action | CALL environment_action/: Move East
t0036:observation | OBS : You see: ⏎ - grass 1 step to your west ⏎ - sand 1 step to your north ⏎ - table 2 steps to your south-west ⏎ - water 1 step to your south ⏎ ⏎ You face water at your front.
t0037:action | CALL environment_action/: Do
t0037:observation | OBS : You see: ⏎ - grass 1 step to your west ⏎ - sand 1 step to your north ⏎ - table 2 steps to your south-west ⏎ - water 1 step to your south ⏎ ⏎ You face water at your front.
t0038:action | CALL environment_action/: Move North
t0038:observation | OBS : You see: ⏎ - grass 1 step to your west ⏎ - sand 1 step to your north ⏎ - table 3 steps to your south-west ⏎ - water 1 step to your east ⏎ ⏎ You face sand at your front.
t0039:action | CALL environment_action/: Move North
t0039:observation | OBS : You see: ⏎ - grass 1 step to your west ⏎ - tree 5 steps to your north-west ⏎ - sand 1 step to your north ⏎ - table 4 steps to your south-west ⏎ - water 1 step to your east ⏎ ⏎ You face sand at your front.
t0040:action | CALL environment_action/: Move North
t0040:observation | OBS : You see: ⏎ - grass 2 steps to your west ⏎ - tree 4 steps to your north-west ⏎ - sand 1 step to your west ⏎ - water 1 step to your north ⏎ ⏎ You face water at your front.
t0041:action | CALL environment_action/: Move West
t0041:observation | OBS : You see: ⏎ - grass 1 step to your west ⏎ - tree 3 steps to your north-west ⏎ - sand 1 step to your north ⏎ - water 2 steps to your north-east ⏎ ⏎ You face grass at your front.
t0042:action | CALL environment_action/: Move West
t0042:observation | OBS : You see: ⏎ - grass 1 step to your west ⏎ - tree 2 steps to your north ⏎ - sand 1 step to your east ⏎ - water 3 steps to your north-east ⏎ ⏎ You face grass at your front.
t0043:action | CALL environment_action/: Move North
t0043:observation | OBS : You see: ⏎ - grass 1 step to your west ⏎ - cow 6 steps to your north-west ⏎ - tree 1 step to your north ⏎ - sand 1 step to your east ⏎ - water 2 steps to your east ⏎ ⏎ You face tree at your front.
t0044:action | CALL environment_action/: Do
t0044:observation | OBS : You see: ⏎ - grass 1 step to your west ⏎ - cow 5 steps to your north-west ⏎ - sand 1 step to your east ⏎ - water 2 steps to your east ⏎ ⏎ You face grass at your front.
t0045:action | CALL environment_action/: Move West
t0045:observation | OBS : You see: ⏎ - grass 1 step to your west ⏎ - cow 4 steps to your north-west ⏎ - sand 2 steps to your east ⏎ - water 3 steps to your east ⏎ ⏎ You face grass at your front.
t0046:action | CALL environment_action/: Move North
t0046:observation | OBS : You see: ⏎ - grass 1 step to your west ⏎ - cow 4 steps to your north-west ⏎ - sand 2 steps to your east ⏎ - water 3 steps to your east ⏎ ⏎ You face grass at your front.
t0047:action | CALL environment_action/: Move South
t0047:observation | OBS : You see: ⏎ - grass 1 step to your west ⏎ - cow 4 steps to your north-west ⏎ - sand 2 steps to your east ⏎ - water 3 steps to your east ⏎ ⏎ You face grass at your front.
t0048:action | CALL environment_action/: Move North
t0048:observation | OBS : You see: ⏎ - grass 1 step to your west ⏎ - cow 4 steps to your north-west ⏎ - sand 2 steps to your east ⏎ - water 3 steps to your east ⏎ ⏎ You face grass at your front.
t0049:action | CALL environment_action/: Move North
t0049:observation | OBS : You see: ⏎ - grass 1 step to your west ⏎ - cow 4 steps to your west ⏎ - tree 4 steps to your north-west ⏎ - sand 2 steps to your east ⏎ - water 3 steps to your east ⏎ ⏎ You face grass at your front.
t0050:action | CALL environment_action/: Move West
t0050:observation | OBS : You see: ⏎ - grass 1 step to your west ⏎ - cow 3 steps to your west ⏎ - tree 3 steps to your north ⏎ - sand 3 steps to your east ⏎ - water 4 steps to your east ⏎ ⏎ You face grass at your front.
t0051:action | CALL environment_action/: Move West
t0051:observation | OBS : You see: ⏎ - grass 1 step to your west ⏎ - cow 3 steps to your west ⏎ - tree 4 steps to your north-east ⏎ - sand 4 steps to your east ⏎ ⏎ You face grass at your front.
t0052:action | CALL environment_action/: Move West
t0052:observation | OBS : You see: ⏎ - grass 1 step to your west ⏎ - cow 3 steps to your west ⏎ - tree 5 steps to your north-east ⏎ ⏎ You face grass at your front.
t0053:action | CALL environment_action/: Move West
t0053:observation | OBS : You see: ⏎ - grass 1 step to your west ⏎ - cow 3 steps to your south-west ⏎ - tree 6 steps to your north-east ⏎ ⏎ You face grass at your front.
t0054:action | CALL environment_action/: Move West
t0054:observation | OBS : You see: ⏎ - grass 1 step to your west ⏎ - cow 2 steps to your south-west ⏎ - tree 7 steps to your north-east ⏎ ⏎ You face grass at your front.
t0055:action | CALL environment_action/: Move West
t0055:observation | OBS : You see: ⏎ - stone 7 steps to your north-west ⏎ - grass 1 step to your west ⏎ - cow 1 step to your south ⏎ ⏎ You face grass at your front.
t0056:action | CALL environment_action/: Move South
t0056:observation | OBS : You see: ⏎ - stone 7 steps to your north-west ⏎ - grass 1 step to your west ⏎ - cow 1 step to your south ⏎ ⏎ You face cow at your front.
t0057:action | CALL environment_action/: Do
t0057:observation | OBS : You see: ⏎ - stone 7 steps to your north-west ⏎ - grass 1 step to your west ⏎ - cow 1 step to your south ⏎ ⏎ You face cow at your front.
t0058:action | CALL environment_action/: Do
t0058:observation | OBS : You see: ⏎ - stone 7 steps to your north-west ⏎ - grass 1 step to your west ⏎ - cow 6 steps to your north-east ⏎ ⏎ You face grass at your front.
t0059:action | CALL environment_action/: Move West
t0059:observation | OBS : You see: ⏎ - path 7 steps to your north-west ⏎ - grass 1 step to your west ⏎ - stone 6 steps to your north-west ⏎ - cow 7 steps to your north-east ⏎ ⏎ You face grass at your front.
t0060:action | CALL environment_action/: Move West
t0060:observation | OBS : You see: ⏎ - grass 1 step to your west ⏎ - path 6 steps to your south-west ⏎ - stone 5 steps to your north-west ⏎ ⏎ You face grass at your front.
t0061:action | CALL environment_action/: Move West
t0061:observation | OBS : You see: ⏎ - grass 1 step to your west ⏎ - stone 4 steps to your north-west ⏎ - lava 7 steps to your south-west ⏎ - path 5 steps to your south-west ⏎ ⏎ You face grass at your front.
t0062:action | CALL environment_action/: Move West
t0062:observation | OBS : You see: ⏎ - grass 1 step to your west ⏎ - tree 4 steps to your west ⏎ - stone 3 steps to your north ⏎ - path 4 steps to your south-west ⏎ - lava 6 steps to your south-west ⏎ ⏎ You face grass at your front.
t0063:action | CALL environment_action/: Move West
t0063:observation | OBS : You see: ⏎ - grass 1 step to your west ⏎ - stone 3 steps to your south-west ⏎ - path 3 steps to your south-west ⏎ - tree 3 steps to your west ⏎ - lava 5 steps to your south-west ⏎ ⏎ You face grass at your front.
t0064:action | CALL environment_action/: Move West
t0064:observation | OBS : You see: ⏎ - grass 1 step to your west ⏎ - tree 2 steps to your west ⏎ - stone 2 steps to your south-west ⏎ - path 2 steps to your south ⏎ - lava 4 steps to your south-west ⏎ ⏎ You face grass at your front.
t0065:action | CALL environment_action/: Move West
t0065:observation | OBS : You see: ⏎ - grass 1 step to your north ⏎ - stone 1 step to your south ⏎ - path 3 steps to your south-east ⏎ - tree 1 step to your west ⏎ - lava 3 steps to your south ⏎ ⏎ You face tree at your front.
t0066:action | CALL environment_action/: Do
t0066:observation | OBS : You see: ⏎ - grass 1 step to your west ⏎ - stone 1 step to your south ⏎ - path 3 steps to your south-east ⏎ - tree 5 steps to your north-west ⏎ - lava 3 steps to your south ⏎ ⏎ You face grass at your front.
t0067:action | CALL environment_action/: Move South
t0067:observation | OBS : You see: ⏎ - grass 1 step to your west ⏎ - stone 1 step to your south ⏎ - path 3 steps to your south-east ⏎ - tree 5 steps to your north-west ⏎ - lava 3 steps to your south ⏎ ⏎ You face stone at your front.
t0068:action | CALL environment_action/: Do
t0068:observation | OBS : You see: ⏎ - grass 1 step to your west ⏎ - stone 2 steps to your south-west ⏎ - path 1 step to your south ⏎ - tree 5 steps to your north-west ⏎ - lava 3 steps to your south ⏎ ⏎ You face path at your front.
t0069:action | CALL environment_action/: Move South
t0069:observation | OBS : You see: ⏎ - grass 1 step to your north ⏎ - stone 1 step to your west ⏎ - path 2 steps to your south-east ⏎ - tree 6 steps to your north-west ⏎ - lava 2 steps to your south ⏎ ⏎ You face stone at your front.
t0070:action | CALL environment_action/: Do
t0070:observation | OBS : You see: ⏎ - grass 1 step to your north ⏎ - stone 1 step to your west ⏎ - path 1 step to your south ⏎ - tree 6 steps to your north-west ⏎ - lava 2 steps to your south ⏎ ⏎ You face path at your front.
t0071:action | CALL environment_action/: Move North
t0071:observation | OBS : You see: ⏎ - grass 1 step to your west ⏎ - stone 2 steps to your south-west ⏎ - path 1 step to your south ⏎ - tree 5 steps to your north-west ⏎ - lava 3 steps to your south ⏎ ⏎ You face grass at your front.
t0072:action | CALL environment_action/: Move North
t0072:observation | OBS : You see: ⏎ - grass 1 step to your west ⏎ - stone 3 steps to your south-west ⏎ - tree 4 steps to your north-west ⏎ - path 2 steps to your south ⏎ ⏎ You face grass at your front.
t0073:action | CALL environment_action/: Move West
t0073:observation | OBS : You see: ⏎ - grass 1 step to your west ⏎ - tree 3 steps to your north-west ⏎ - path 3 steps to your south-east ⏎ - cow 4 steps to your south-west ⏎ - stone 2 steps to your south ⏎ ⏎ You face grass at your front.
t0074:action | CALL environment_action/: Move West
t0074:observation | OBS : You see: ⏎ - grass 1 step to your west ⏎ - tree 2 steps to your north-west ⏎ - path 4 steps to your south-east ⏎ - cow 2 steps to your west ⏎ - stone 3 steps to your south ⏎ ⏎ You face grass at your front.
t0075:action | CALL environment_action/: Move West
t0075:observation | OBS : You see: ⏎ - grass 1 step to your south ⏎ - tree 1 step to your north ⏎ - path 5 steps to your south-west ⏎ - cow 1 step to your west ⏎ - stone 3 steps to your south ⏎ ⏎ You face cow at your front.
t0076:action | CALL environment_action/: Do
t0076:observation | OBS : You see: ⏎ - grass 1 step to your south ⏎ - tree 1 step to your north ⏎ - path 5 steps to your south-west ⏎ - cow 1 step to your west ⏎ - stone 3 steps to your south ⏎ ⏎ You face cow at your front.
t0077:action | CALL environment_action/: Do
t0077:observation | OBS : You see: ⏎ - grass 1 step to your west ⏎ - tree 1 step to your north ⏎ - path 5 steps to your south-west ⏎ - stone 3 steps to your south ⏎ ⏎ You face grass at your front.
t0078:action | CALL environment_action/: Move North
t0078:observation | OBS : You see: ⏎ - grass 1 step to your west ⏎ - tree 1 step to your north ⏎ - path 5 steps to your south-west ⏎ - stone 3 steps to your south ⏎ ⏎ You face tree at your front.
t0079:action | CALL environment_action/: Do
t0079:observation | OBS : You see: ⏎ - grass 1 step to your west ⏎ - tree 3 steps to your north ⏎ - path 5 steps to your south-west ⏎ - stone 3 steps to your south ⏎ ⏎ You face grass at your front.
t0080:action | CALL environment_action/: Move South
t0080:observation | OBS : You see: ⏎ - grass 1 step to your west ⏎ - path 3 steps to your south ⏎ - tree 5 steps to your north-west ⏎ - stone 2 steps to your south ⏎ - lava 6 steps to your south-east ⏎ ⏎ You face grass at your front.
t0081:action | CALL environment_action/: Move South
t0081:observation | OBS : You see: ⏎ - grass 1 step to your west ⏎ - stone 1 step to your south ⏎ - path 2 steps to your south ⏎ - lava 5 steps to your south-east ⏎ ⏎ You face stone at your front.
t0082:action | CALL environment_action/: Move South
t0082:observation | OBS : You see: ⏎ - grass 1 step to your west ⏎ - stone 1 step to your south ⏎ - path 2 steps to your south ⏎ - lava 5 steps to your south-east ⏎ ⏎ You face stone at your front.
t0083:action | CALL environment_action/: Do
t0083:observation | OBS : You see: ⏎ - grass 1 step to your west ⏎ - stone 2 steps to your south-west ⏎ - path 1 step to your south ⏎ - lava 5 steps to your south-east ⏎ ⏎ You face path at your front.
t0084:action | CALL environment_action/: Move South
t0084:observation | OBS : You see: ⏎ - grass 1 step to your north ⏎ - stone 1 step to your west ⏎ - path 1 step to your south ⏎ - lava 4 steps to your south-east ⏎ ⏎ You face path at your front.
t0085:action | CALL environment_action/: Move North
t0085:observation | OBS : You see: ⏎ - grass 1 step to your west ⏎ - stone 2 steps to your south-west ⏎ - path 1 step to your south ⏎ - lava 5 steps to your south-east ⏎ ⏎ You face grass at your front.
t0086:action | CALL environment_action/: Move North
t0086:observation | OBS : You see: ⏎ - grass 1 step to your west ⏎ - path 2 steps to your south ⏎ - tree 5 steps to your north-west ⏎ - stone 3 steps to your south-west ⏎ - lava 6 steps to your south-east ⏎ ⏎ You face grass at your front.
t0087:action | CALL environment_action/: Place Table
t0087:observation | OBS : You see: ⏎ - grass 1 step to your west ⏎ - path 2 steps to your south ⏎ - tree 5 steps to your north-west ⏎ - stone 3 steps to your south-west ⏎ - table 1 step to your north ⏎ - lava 6 steps to your south-east ⏎ ⏎ You fa …(+23ch)
t0088:action | CALL environment_action/: Make Stone Pickaxe
t0088:observation | OBS : You see: ⏎ - grass 1 step to your west ⏎ - path 2 steps to your south ⏎ - tree 5 steps to your north-west ⏎ - stone 3 steps to your south-west ⏎ - table 1 step to your north ⏎ - lava 6 steps to your south-east ⏎ ⏎ You fa …(+23ch)
t0089:action | CALL environment_action/: Move South
t0089:observation | OBS : You see: ⏎ - grass 1 step to your west ⏎ - stone 2 steps to your south-west ⏎ - path 1 step to your south ⏎ - table 2 steps to your north ⏎ - lava 5 steps to your south-east ⏎ ⏎ You face path at your front.
t0090:action | CALL environment_action/: Move South
t0090:observation | OBS : You see: ⏎ - grass 1 step to your north ⏎ - stone 1 step to your west ⏎ - path 1 step to your south ⏎ - table 3 steps to your north ⏎ - lava 4 steps to your south-east ⏎ ⏎ You face path at your front.
t0091:action | CALL environment_action/: Move South
t0091:observation | OBS : You see: ⏎ - grass 2 steps to your north ⏎ - stone 1 step to your south ⏎ - path 1 step to your west ⏎ - lava 3 steps to your south-east ⏎ ⏎ You face stone at your front.
t0092:action | CALL environment_action/: Do
t0092:observation | OBS : You see: ⏎ - grass 2 steps to your north ⏎ - stone 2 steps to your north-west ⏎ - path 1 step to your west ⏎ - lava 3 steps to your south-east ⏎ ⏎ You face path at your front.
t0093:action | CALL environment_action/: Move West
t0093:observation | OBS : You see: ⏎ - grass 2 steps to your north ⏎ - stone 1 step to your north ⏎ - path 1 step to your west ⏎ - lava 4 steps to your south-east ⏎ ⏎ You face path at your front.
t0094:action | CALL environment_action/: Move West
t0094:observation | OBS : You see: ⏎ - sand 6 steps to your north-west ⏎ - grass 2 steps to your west ⏎ - stone 1 step to your south ⏎ - path 1 step to your west ⏎ - lava 5 steps to your south-east ⏎ ⏎ You face path at your front.
t0095:action | CALL environment_action/: Move West
t0095:observation | OBS : You see: ⏎ - water 7 steps to your north-west ⏎ - sand 5 steps to your north-west ⏎ - grass 1 step to your west ⏎ - stone 1 step to your south ⏎ - path 1 step to your east ⏎ ⏎ You face grass at your front.
t0096:action | CALL environment_action/: Move West
t0096:observation | OBS : You see: ⏎ - water 5 steps to your north-west ⏎ - sand 4 steps to your west ⏎ - grass 1 step to your west ⏎ - stone 1 step to your south ⏎ - path 1 step to your east ⏎ ⏎ You face grass at your front.
t0097:action | CALL environment_action/: Move West
t0097:observation | OBS : You see: ⏎ - water 4 steps to your west ⏎ - sand 3 steps to your west ⏎ - grass 1 step to your west ⏎ - stone 2 steps to your south-east ⏎ - path 2 steps to your east ⏎ ⏎ You face grass at your front.
t0098:action | CALL environment_action/: Move West
t0098:observation | OBS : You see: ⏎ - water 3 steps to your west ⏎ - sand 2 steps to your west ⏎ - grass 1 step to your west ⏎ - stone 3 steps to your south-east ⏎ - path 3 steps to your east ⏎ ⏎ You face grass at your front.
t0099:action | CALL environment_action/: Do
t0099:observation | OBS : You see: ⏎ - water 3 steps to your west ⏎ - sand 2 steps to your west ⏎ - grass 1 step to your west ⏎ - stone 3 steps to your south-east ⏎ - path 3 steps to your east ⏎ ⏎ You face grass at your front.
t0100:action | CALL environment_action/: Move West
t0100:observation | OBS : You see: ⏎ - water 2 steps to your west ⏎ - sand 1 step to your west ⏎ - grass 1 step to your south ⏎ - stone 4 steps to your south-east ⏎ - path 4 steps to your east ⏎ ⏎ You face sand at your front.
t0101:action | CALL environment_action/: Move West
t0101:observation | OBS : You see: ⏎ - water 1 step to your west ⏎ - sand 2 steps to your south-west ⏎ - grass 1 step to your south ⏎ - stone 5 steps to your south-east ⏎ ⏎ You face water at your front.
t0102:action | CALL environment_action/: Do
t0102:observation | OBS : You see: ⏎ - water 1 step to your west ⏎ - sand 2 steps to your south-west ⏎ - grass 1 step to your south ⏎ - stone 5 steps to your south-east ⏎ ⏎ You face water at your front.
t0103:action | CALL environment_action/: Move South
t0103:observation | OBS : You see: ⏎ - water 2 steps to your west ⏎ - sand 1 step to your west ⏎ - grass 1 step to your south ⏎ - stone 4 steps to your south-east ⏎ ⏎ You face grass at your front.
t0104:action | CALL environment_action/: Move South
t0104:observation | OBS : You see: ⏎ - water 3 steps to your west ⏎ - sand 2 steps to your west ⏎ - stone 3 steps to your south ⏎ - grass 1 step to your west ⏎ - tree 4 steps to your south-west ⏎ ⏎ You face grass at your front.
t0105:action | CALL environment_action/: Do
t0105:observation | OBS : You see: ⏎ - water 3 steps to your west ⏎ - sand 2 steps to your west ⏎ - stone 3 steps to your south ⏎ - grass 1 step to your west ⏎ - tree 4 steps to your south-west ⏎ ⏎ You face grass at your front.
t0106:action | CALL environment_action/: Move West
t0106:observation | OBS : You see: ⏎ - water 2 steps to your west ⏎ - sand 1 step to your west ⏎ - stone 4 steps to your south-east ⏎ - grass 1 step to your south ⏎ - tree 3 steps to your south ⏎ ⏎ You face sand at your front.
t0107:action | CALL environment_action/: Move South
t0107:observation | OBS : You see: ⏎ - water 3 steps to your north-west ⏎ - sand 2 steps to your west ⏎ - stone 3 steps to your south-east ⏎ - coal 7 steps to your south-west ⏎ - grass 1 step to your west ⏎ - tree 2 steps to your south ⏎ - path 4 …(+59ch)
t0108:action | CALL environment_action/: Move South
t0108:observation | OBS : You see: ⏎ - water 4 steps to your north-west ⏎ - sand 3 steps to your west ⏎ - stone 2 steps to your south-east ⏎ - coal 6 steps to your south-west ⏎ - grass 1 step to your west ⏎ - tree 1 step to your south ⏎ - path 3  …(+57ch)
t0109:action | CALL environment_action/: Do
t0109:observation | OBS : You see: ⏎ - water 4 steps to your north-west ⏎ - sand 3 steps to your west ⏎ - stone 2 steps to your south-east ⏎ - coal 6 steps to your south-west ⏎ - grass 1 step to your west ⏎ - tree 3 steps to your south-west ⏎ - p …(+64ch)
t0110:action | CALL environment_action/: Move West
t0110:observation | OBS : You see: ⏎ - water 3 steps to your north-west ⏎ - sand 2 steps to your west ⏎ - grass 1 step to your west ⏎ - stone 3 steps to your south-west ⏎ - coal 5 steps to your south-west ⏎ - tree 2 steps to your south ⏎ - path 4 …(+59ch)
t0111:action | CALL environment_action/: Move South
t0111:observation | OBS : You see: ⏎ - water 4 steps to your north-west ⏎ - sand 3 steps to your north-west ⏎ - grass 1 step to your west ⏎ - stone 2 steps to your west ⏎ - coal 4 steps to your south-west ⏎ - tree 1 step to your south ⏎ - path 3  …(+57ch)
t0112:action | CALL environment_action/: Do
